id,store_id,name,sku,description,buy_price,fbuy_price,sell_price,sell_price_pos,fsell_price,fsell_price_pos,market_price,fmarket_price,comission,fcomission,loyalty_points,require_shipping,weight,min_order,max_order,non_taxable,track_inventory,stock_qty,low_stock_alert,accept_preorder,is_out_stock,published,published_date,fpublished_date,pos_sell_price_dynamic,pos_hidden,meta_keywords,meta_description,photo,photo_md,photo_xs,photo_width,photo_height,reviewer_rating,reviewer_total,viewed,viewed_time,copy_product_combo_id,status
267400,188333,Paket Kawa Blackcurrant + Singaraja 330ml [Promo Juni],,,0.00,IDR 0,110000.00,110000.00,IDR 110.000,IDR 110.000,110000.00,IDR 110.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,6845955e09092.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6845955e09092.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_6845955e09092.jpeg,1024,2088,0.0000,0,0,,,A
267401,188333,Paket 2 Joker Blackcurrant [Promo Juni],,,0.00,IDR 0,160000.00,160000.00,IDR 160.000,IDR 160.000,160000.00,IDR 160.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,6845957e9fe5d.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6845957e9fe5d.jpeg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_6845957e9fe5d.jpeg,1024,2012,0.0000,0,0,,,A
267402,188333,Paket 2 Kawa Blackcurrant,,,0.00,IDR 0,162000.00,162000.00,IDR 162.000,IDR 162.000,162000.00,IDR 162.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451c7c1df87.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451c7c1df87.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451c7c1df87.png,1024,1257,0.0000,0,0,,,A
267403,188333,Paket 3 Kawa Blackcurrant,,,0.00,IDR 0,229000.00,229000.00,IDR 229.000,IDR 229.000,229000.00,IDR 229.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451c6319062.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451c6319062.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451c6319062.png,1024,1241,0.0000,0,0,,,A
267404,188333,Paket 3 Joker Blackcurrant [Promo Juni],,,0.00,IDR 0,235000.00,235000.00,IDR 235.000,IDR 235.000,235000.00,IDR 235.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-07-06,06-Jul-2025,0,0,,,6845b7a9dcccc.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_6845b7a9dcccc.jpg,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_6845b7a9dcccc.jpg,1024,1280,0.0000,0,0,,,A
267405,188333,Paket Joker Blackcurrant + 2 Draft Beer [Promo Juni],,,0.00,IDR 0,116000.00,116000.00,IDR 116.000,IDR 116.000,116000.00,IDR 116.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451c3bae087.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451c3bae087.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451c3bae087.png,1024,1306,0.0000,0,0,,,A
267406,188333,Paket Kawa Blackcurrant + 2 Draft Beer [Promo Juni],,,0.00,IDR 0,118000.00,118000.00,IDR 118.000,IDR 118.000,118000.00,IDR 118.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451bf2ca6b8.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451bf2ca6b8.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451bf2ca6b8.png,1024,1270,0.0000,0,0,,,A
267407,188333,Paket 2 Kawa Blackcurrant + 2 Draft Beer [Promo Juni],,,0.00,IDR 0,199000.00,199000.00,IDR 199.000,IDR 199.000,199000.00,IDR 199.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451c1adf397.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451c1adf397.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451c1adf397.png,1024,1279,0.0000,0,0,,,A
267408,188333,Paket Joker Blackcurrant + Draft Beer [Promo Juni],,,0.00,IDR 0,106000.00,106000.00,IDR 106.000,IDR 106.000,106000.00,IDR 106.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451bae9feeb.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451bae9feeb.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451bae9feeb.png,1024,1267,0.0000,0,0,,,A
267409,188333,Paket Joker Blackcurrant + Bintang Pilsener [Promo Juni],,,0.00,IDR 0,127000.00,127000.00,IDR 127.000,IDR 127.000,127000.00,IDR 127.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451b6388230.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451b6388230.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451b6388230.png,1024,1267,0.0000,0,0,,,A
